# race=practice
# car=unknown
# track=unknown
# lane=1
# controller=unknown
# start_epoch=1609459368
# sample_rate_hz=200
t_ms,current_A,track_V,supply_V,marker
486,-0.01,0.06,9.88,0
490,-0.04,0.06,9.88,0
495,-0.17,0.06,9.88,0
500,-0.08,0.06,9.86,0
504,0.05,0.06,9.88,0
509,-0.11,0.06,9.88,0
513,-0.04,0.06,9.88,0
518,-0.04,0.06,9.87,0
523,-0.14,0.06,9.88,0
527,-0.01,0.06,9.88,0
569,0.05,0.06,9.88,0
569,0.02,0.06,9.89,0
574,-0.01,0.06,9.88,0
578,-0.08,0.06,9.89,0
583,0.05,0.06,9.88,0
587,-0.11,0.06,9.88,0
592,-0.08,0.06,9.86,0
597,-0.01,0.06,9.88,0
601,-0.01,0.06,9.87,0
606,0.08,0.06,9.85,0
611,0.21,0.06,9.86,0
615,0.02,0.06,9.88,0
620,-0.08,0.06,9.85,0
626,-0.01,0.06,9.88,0
629,-0.21,0.06,9.85,0
634,-0.17,0.06,9.86,0
638,-0.17,0.06,9.86,0
643,-0.11,0.06,9.88,0
647,-0.08,0.06,9.88,0
652,-0.17,0.06,9.87,0
656,-0.01,0.06,9.87,0
661,-0.04,0.06,9.88,0
665,0.05,0.06,9.87,0
670,0.05,0.06,9.87,0
675,-0.04,0.06,9.86,0
679,-0.01,0.06,9.87,0
684,0.08,0.06,9.88,0
688,0.05,0.06,9.87,0
693,0.02,0.06,9.88,0
697,-0.11,0.06,9.87,0
702,-0.11,0.06,9.88,0
707,-0.14,0.06,9.88,0
711,-0.11,0.06,9.88,0
715,-0.14,0.06,9.85,0
719,-0.21,0.06,9.88,0
723,0.02,0.06,9.87,0
728,-0.04,0.06,9.89,0
732,-0.11,0.06,9.88,0
736,0.05,0.06,9.85,0
741,0.02,0.06,9.87,0
745,-0.11,0.06,9.87,0
750,-0.08,0.06,9.88,0
754,0.02,0.06,9.87,0
759,0.05,0.06,9.87,0
763,-0.17,0.06,9.88,0
767,0.15,0.06,9.88,0
771,-0.08,0.06,9.88,0
776,-0.04,0.06,9.89,0
781,-0.14,0.06,9.85,0
785,-0.11,0.06,9.88,0
790,-0.08,0.06,9.89,0
795,-0.08,0.06,9.87,0
799,-0.01,0.06,9.88,0
803,-0.14,0.06,9.86,0
807,-0.14,0.06,9.87,0
812,-0.01,0.05,9.88,0
816,0.02,0.06,9.85,0
821,-0.08,0.06,9.89,0
826,-0.01,0.06,9.89,0
830,-0.14,0.06,9.88,0
834,0.02,0.06,9.89,0
839,-0.11,0.06,9.88,0
843,0.05,0.06,9.88,0
847,0.02,0.06,9.87,0
852,0.15,0.06,9.89,0
856,-0.01,0.06,9.87,0
860,-0.04,0.06,9.88,0
864,-0.01,0.06,9.86,0
869,-0.04,0.06,9.89,0
874,0.02,0.06,9.89,0
878,-0.11,0.06,9.89,0
883,0.02,0.06,9.88,0
887,0.15,0.06,9.88,0
891,-0.01,0.06,9.88,0
896,-0.01,0.06,9.89,0
901,-0.01,0.06,9.88,0
906,-0.08,0.06,9.88,0
910,0.05,0.06,9.88,0
914,0.18,0.06,9.88,0
919,-0.04,0.06,9.88,0
923,-0.01,0.06,9.88,0
928,-0.11,0.06,9.89,0
932,0.05,0.06,9.87,0
936,0.02,0.06,9.88,0
941,0.02,0.06,9.88,0
946,-0.04,0.06,9.88,0
950,-0.04,0.06,9.87,0
954,-0.01,0.06,9.89,0
958,0.08,0.06,9.86,0
963,-0.11,0.06,9.87,0
967,-0.08,0.06,9.86,0
971,0.02,0.06,9.88,0
976,0.05,0.06,9.88,0
981,-0.14,0.06,9.88,0
985,0.02,0.06,9.88,0
990,0.02,0.06,9.88,0
994,0.02,0.06,9.88,0
998,-0.21,0.06,9.86,0
1037,-0.04,0.06,9.88,0
1037,-0.04,0.06,9.89,0
1042,-0.08,0.06,9.88,0
1046,0.05,0.06,9.89,0
1050,-0.01,0.06,9.89,0
1090,0.08,0.06,9.87,0
1090,-0.01,0.06,9.88,0
1097,0.05,0.06,9.87,0
1100,-0.01,0.06,9.86,0
1105,0.08,0.06,9.89,0
1110,-0.11,0.06,9.89,0
1114,-0.11,0.06,9.89,0
1119,-0.04,0.06,9.85,0
1123,-0.04,0.06,9.88,0
1127,0.34,0.06,9.87,0
1132,-0.01,0.05,9.89,0
1136,-0.08,0.06,9.88,0
1140,0.18,0.06,9.89,0
1144,-0.01,0.06,9.88,0
1149,-0.01,0.06,9.86,0
1154,-0.11,0.06,9.88,0
1158,-0.11,0.06,9.88,0
1163,0.02,0.06,9.88,0
1168,-0.01,0.06,9.86,0
1172,-0.01,0.06,9.88,0
1176,-0.01,0.06,9.88,0
1181,-0.04,0.06,9.88,0
1185,-0.04,0.06,9.86,0
1190,0.02,0.06,9.88,0
1194,0.05,0.06,9.88,0
1199,-0.01,0.06,9.88,0
1203,0.05,0.06,9.88,0
1208,-0.08,0.06,9.88,0
1212,0.15,0.06,9.89,0
1217,-0.01,0.06,9.88,0
1221,-0.17,0.06,9.87,0
1225,0.15,0.06,9.88,0
1229,0.08,0.06,9.90,0
1234,-0.08,0.06,9.88,0
1238,-0.01,0.06,9.89,0
1243,-0.17,0.06,9.90,0
1248,-0.11,0.06,9.88,0
1252,-0.08,0.06,9.89,0
1257,0.02,0.06,9.88,0
1262,-0.08,0.06,9.89,0
1266,-0.08,0.06,9.89,0
1270,0.08,0.06,9.88,0
1275,-0.04,0.06,9.89,0
1279,-0.08,0.06,9.88,0
1284,-0.11,0.06,9.88,0
1288,0.02,0.06,9.86,0
1293,0.05,0.06,9.88,0
1297,0.02,0.06,9.88,0
1302,0.02,0.06,9.88,0
1306,0.05,0.06,9.87,0
1311,-0.01,0.06,9.89,0
1315,0.08,0.06,9.89,0
1319,0.05,0.05,9.88,0
1324,0.05,0.06,9.87,0
1328,-0.01,0.06,9.87,0
1333,-0.11,0.06,9.85,0
1337,-0.04,0.06,9.89,0
1342,-0.11,0.06,9.88,0
1346,0.02,0.06,9.87,0
1350,-0.04,0.06,9.90,0
1355,-0.01,0.06,9.88,0
1359,-0.04,0.06,9.89,0
1364,0.02,0.06,9.87,0
1368,-0.17,0.06,9.88,0
1373,-0.11,0.06,9.88,0
1378,-0.17,0.06,9.89,0
1382,0.02,0.06,9.90,0
1386,0.02,0.06,9.88,0
1391,0.05,0.06,9.88,0
1395,0.02,0.06,9.86,0
1399,0.02,0.06,9.88,0
1403,-0.01,0.06,9.89,0
1408,0.05,0.06,9.88,0
1413,-0.17,0.06,9.89,0
1417,0.05,0.06,9.87,0
1421,0.05,0.06,9.88,0
1426,-0.01,0.06,9.87,0
1430,0.02,0.06,9.89,0
1435,0.05,0.06,9.89,0
1439,0.08,0.06,9.89,0
1444,-0.01,0.06,9.88,0
1448,-0.11,0.06,9.86,0
1453,0.02,0.06,9.89,0
1458,-0.08,0.06,9.90,0
1462,0.08,0.06,9.87,0
1467,0.08,0.06,9.89,0
1471,0.15,0.06,9.88,0
1476,0.02,0.06,9.86,0
1481,0.05,0.06,9.88,0
1485,0.05,0.06,9.86,0
1490,0.05,0.06,9.87,0
1494,0.02,0.06,9.88,0
1498,0.05,0.06,9.88,0
1503,0.15,0.06,9.88,0
1507,-0.01,0.06,9.88,0
1512,-0.17,0.06,9.89,0
1516,0.02,0.06,9.89,0
1551,-0.04,0.06,9.88,0
1551,-0.01,0.06,9.89,0
1556,-0.01,0.06,9.88,0
1561,-0.01,0.06,9.88,0
1567,-0.04,0.06,9.88,0
1570,0.02,0.06,9.86,0
1574,0.05,0.06,9.87,0
1579,0.02,0.06,9.87,0
1584,-0.01,0.06,9.85,0
1588,-0.11,0.06,9.87,0
1593,0.08,0.06,9.86,0
1597,0.05,0.06,9.88,0
1601,-0.04,0.06,9.86,0
1605,-0.14,0.06,9.88,0
1609,-0.11,0.06,9.88,0
1613,-0.24,0.06,9.87,0
1618,0.05,0.06,9.87,0
1622,0.02,0.06,9.89,0
1627,-0.01,0.06,9.89,0
1632,0.05,0.06,9.86,0
1637,0.02,0.06,9.88,0
1642,-0.11,0.06,9.88,0
1647,-0.11,0.06,9.87,0
1652,-0.01,0.06,9.88,0
1656,-0.14,0.06,9.89,0
1661,-0.17,0.06,9.87,0
1665,-0.04,0.06,9.88,0
1669,0.05,0.06,9.89,0
1674,-0.14,0.06,9.88,0
1679,-0.04,0.06,9.85,0
1683,0.02,0.06,9.89,0
1687,-0.11,0.06,9.89,0
1692,-0.11,0.06,9.89,0
1696,0.02,0.06,9.88,0
1700,0.08,0.06,9.88,0
1705,0.08,0.06,9.87,0
1710,-0.01,0.06,9.85,0
1714,0.02,0.06,9.89,0
1719,0.05,0.06,9.88,0
1724,-0.08,0.06,9.89,0
1729,0.15,0.47,8.87,0
1733,0.21,0.49,1.40,0
1737,0.21,0.47,1.28,0
1741,0.25,0.47,1.27,0
1746,2.31,3.14,3.94,0
1750,2.15,4.17,5.76,0
1755,1.76,4.33,6.97,0
1759,1.34,4.46,7.78,0
1764,0.96,4.55,8.34,0
1768,0.92,4.64,8.68,0
1773,0.70,4.69,8.97,0
1777,0.66,4.74,9.15,0
1781,0.63,4.82,9.27,0
1786,0.44,4.87,9.36,0
1790,0.31,4.88,9.43,0
1795,0.66,5.04,9.46,0
1800,0.21,5.09,9.55,0
1804,0.47,5.02,9.58,0
1809,0.47,5.19,9.58,0
1813,0.05,4.94,9.63,0
1818,0.34,5.29,9.63,0
1823,0.41,5.33,9.67,0
1827,0.60,5.36,9.68,0
1831,0.44,5.35,9.68,0
1836,0.31,5.37,9.70,0
1840,0.28,5.41,9.70,0
1845,0.34,5.38,9.73,0
1849,0.41,5.37,9.76,0
1854,0.31,5.40,9.77,0
1859,0.18,5.15,9.74,0
1863,0.02,5.24,9.77,0
1867,0.18,5.19,9.77,0
1872,0.21,5.07,9.78,0
1876,0.18,4.90,9.78,0
1880,-0.01,4.67,9.81,0
1885,0.15,4.43,9.78,0
1889,-0.11,4.11,9.82,0
1893,0.02,4.01,9.83,0
1898,0.15,4.01,9.83,0
1902,-0.04,4.12,9.83,0
1907,-0.11,4.10,9.83,0
1911,-0.72,3.00,9.83,0
1916,-0.50,2.62,9.82,0
1920,-0.59,2.61,9.84,0
1924,-0.33,2.22,9.82,0
1928,-0.53,2.24,9.86,0
1932,-0.30,2.18,9.86,0
1937,-0.33,1.64,9.83,0
1941,-0.21,1.61,9.86,0
1945,-0.21,1.50,9.84,0
1950,-0.30,1.15,9.85,0
1954,-0.24,1.02,9.85,0
1958,-0.17,0.98,9.86,0
1962,-0.11,0.86,9.87,0
1967,-0.04,0.75,9.87,0
1971,0.02,0.70,9.88,0
1975,-0.14,0.58,9.85,0
1980,-0.24,0.47,9.85,0
1985,-0.04,0.39,9.88,0
1989,-0.17,0.39,9.85,0
2026,-0.21,0.11,9.85,0
2026,0.02,0.12,9.87,0
2031,-0.04,0.07,9.87,0
2038,-0.17,0.06,9.88,0
2042,-0.01,0.06,9.88,0
2045,-0.01,0.06,9.87,0
2050,-0.17,0.05,9.86,0
2054,-0.11,0.06,9.88,0
2058,0.02,0.06,9.85,0
2063,-0.11,0.06,9.88,0
2067,-0.01,0.06,9.88,0
2072,-0.01,0.06,9.88,0
2076,0.08,0.06,9.87,0
2080,-0.11,0.06,9.88,0
2085,0.05,0.06,9.88,0
2089,0.02,0.06,9.87,0
2094,0.08,0.06,9.86,0
2098,-0.04,0.06,9.85,0
2102,0.02,0.06,9.86,0
2107,-0.01,0.06,9.88,0
2111,0.12,0.06,9.86,0
2115,-0.17,0.06,9.88,0
2120,-0.01,0.06,9.89,0
2124,-0.08,0.06,9.88,0
2129,0.08,0.06,9.86,0
2134,0.05,0.06,9.89,0
2139,0.05,0.06,9.86,0
2143,0.05,0.06,9.88,0
2148,0.28,0.61,1.72,0
2153,0.18,0.59,1.35,0
2157,0.25,0.55,1.32,0
2162,0.02,0.62,1.37,0
2167,0.47,1.75,2.44,0
2171,2.18,3.87,5.09,0
2176,1.83,4.08,6.59,0
2181,1.18,4.23,7.53,0
2185,1.09,4.25,8.16,0
2190,0.92,4.34,8.60,0
2195,0.73,4.36,8.88,0
2199,0.57,4.45,9.09,0
2204,0.50,4.46,9.26,0
2208,0.47,4.48,9.38,0
2213,0.41,4.55,9.45,0
2218,0.41,4.57,9.49,0
2222,0.37,4.60,9.54,0
2226,0.44,4.61,9.56,0
2230,0.18,4.65,9.62,0
2234,0.28,4.65,9.62,0
2239,0.28,4.65,9.65,0
2243,0.12,4.58,9.67,0
2248,0.21,4.51,9.69,0
2253,0.41,4.39,9.70,0
2257,0.18,4.23,9.70,0
2262,0.12,4.13,9.74,0
2267,-0.08,4.14,9.76,0
2271,0.21,3.93,9.75,0
2276,0.02,3.73,9.77,0
2280,-0.11,3.41,9.77,0
2285,-0.01,3.40,9.79,0
2290,0.05,3.21,9.78,0
2295,-0.33,2.33,9.81,0
2299,-0.27,1.96,9.80,0
2304,-0.30,2.05,9.80,0
2309,-0.30,1.38,2.72,0
2313,-0.59,1.04,1.47,0
2318,-0.37,0.93,1.40,0
2322,-0.46,0.93,1.40,0
2327,-0.08,1.30,1.68,0
2332,1.02,3.73,4.83,0
2337,0.86,3.83,6.42,0
2341,0.63,3.84,7.41,0
2346,0.47,3.83,8.08,0
2351,0.41,3.81,8.55,0
2355,0.44,3.81,8.86,0
2359,0.31,3.80,9.06,0
2364,0.44,3.79,9.25,0
2369,-0.04,3.10,9.34,0
2374,-0.01,2.97,9.43,0
2378,-0.08,2.58,9.50,0
2383,0.02,2.79,9.52,0
2388,-0.01,2.60,9.57,0
2393,-0.46,2.18,9.62,0
2397,-0.24,1.90,9.63,0
2401,-0.27,1.82,9.63,0
2406,-0.27,1.75,9.68,0
2410,-0.37,1.40,9.67,0
2415,-0.30,1.45,9.69,0
2419,-0.11,0.98,9.70,0
2424,-0.14,1.14,9.74,0
2428,-0.21,0.96,9.74,0
2433,-0.21,0.83,9.73,0
2437,-0.17,0.78,9.76,0
2442,-0.27,0.67,9.74,0
2446,-0.04,0.42,9.75,0
2451,-0.08,0.49,9.78,0
2455,-0.08,0.46,9.77,0
2460,-0.11,0.29,9.77,0
2465,0.05,0.28,9.81,0
2508,0.18,1.03,9.27,0
2508,0.57,1.33,7.87,0
2513,0.15,0.45,1.31,0
2517,0.08,0.45,1.25,0
2522,0.18,0.43,1.24,0
2560,0.66,4.44,9.13,0
2560,0.70,4.44,9.17,0
2564,0.63,4.54,9.27,0
2569,0.57,4.67,9.37,0
2573,0.50,4.80,9.43,0
2578,0.31,4.91,9.49,0
2582,0.57,4.92,9.52,0
2586,0.47,5.04,9.57,0
2591,0.50,5.12,9.60,0
2595,0.50,5.13,9.60,0
2600,0.28,5.15,9.64,0
2604,0.28,5.12,9.67,0
2608,0.41,5.17,9.67,0
2613,0.21,5.18,9.69,0
2617,0.25,5.12,9.70,0
2621,0.15,5.06,9.72,0
2626,0.21,4.92,9.74,0
2630,0.25,4.73,9.76,0
2635,0.21,4.49,9.76,0
2639,0.02,4.26,9.76,0
2644,0.15,4.18,9.79,0
2649,-0.04,4.07,9.78,0
2653,0.05,3.80,9.79,0
2657,-0.01,3.86,9.78,0
2662,-0.46,2.91,9.81,0
2666,-0.62,2.54,9.81,0
2671,-0.46,2.27,9.82,0
2676,-0.53,2.33,9.81,0
2680,-0.40,2.30,9.83,0
2684,-0.50,2.04,9.81,0
2688,-0.27,1.81,9.82,0
2693,-0.24,1.64,9.84,0
2697,-0.27,1.52,9.85,0
2702,-0.11,1.13,9.84,0
2707,-0.17,1.14,9.82,0
2712,-0.17,0.83,9.85,0
2716,-0.08,0.82,9.83,0
2720,-0.04,0.71,9.85,0
2725,-0.08,0.67,9.85,0
2730,-0.04,0.53,9.86,0
2734,-0.30,0.47,9.85,0
2739,-0.11,0.43,9.86,0
2744,-0.08,0.40,9.83,0
2748,-0.08,0.29,9.84,0
2752,-0.11,0.31,9.87,0
2756,-0.01,0.19,9.87,0
2761,-0.04,0.26,9.86,0
2765,-0.08,0.24,9.86,0
2770,0.02,0.18,9.86,0
2774,0.05,0.15,9.88,0
2778,0.18,0.10,9.87,0
2782,0.05,0.06,9.88,0
2786,-0.08,0.06,9.87,0
2791,0.08,0.06,9.87,0
2795,0.02,0.06,9.87,0
2800,-0.08,0.06,9.86,0
2804,0.02,0.06,9.88,0
2809,-0.04,0.06,9.87,0
2814,0.05,0.06,9.88,0
2818,-0.11,0.06,9.85,0
2823,-0.11,0.06,9.85,0
2827,0.02,0.06,9.88,0
2832,-0.01,0.06,9.87,0
2836,-0.14,0.06,9.88,0
2841,-0.08,0.06,9.87,0
2846,0.02,0.06,9.88,0
2850,0.02,0.06,9.87,0
2854,-0.01,0.06,9.87,0
2859,0.12,0.06,9.86,0
2863,0.12,0.06,9.85,0
2868,0.05,0.06,9.87,0
2872,0.02,0.06,9.88,0
2877,0.02,0.06,9.88,0
2881,-0.04,0.06,9.88,0
2885,-0.08,0.06,9.85,0
2890,0.05,0.06,9.88,0
2894,0.05,0.06,9.88,0
2898,-0.11,0.06,9.89,0
2902,0.08,0.06,9.86,0
2906,0.66,0.72,2.61,0
2911,0.05,0.53,1.32,0
2915,0.02,0.54,1.30,0
2919,0.08,0.53,1.30,0
2924,0.08,0.58,1.33,0
2928,1.79,3.38,4.19,0
2933,1.79,3.76,6.04,0
2937,1.38,3.90,7.14,0
2941,1.05,3.91,7.92,0
2946,0.76,3.93,8.45,0
2950,0.60,3.93,8.79,0
2955,0.54,3.91,9.05,0
2960,0.34,3.90,9.19,0
2964,0.47,3.93,9.32,0
2968,0.34,3.95,9.42,0
2973,0.31,4.03,9.49,0
2978,0.34,4.04,9.53,0
2982,0.15,4.08,9.59,0
3023,0.08,4.17,9.74,0
3023,0.31,4.18,9.73,0
3028,0.02,4.20,9.75,0
3033,0.21,4.20,9.75,0
3038,0.25,4.21,9.77,0
3042,0.15,4.22,9.78,0
3047,0.15,4.22,9.76,0
3052,0.15,4.21,9.76,0
3056,0.15,4.23,9.78,0
3061,0.31,4.27,9.80,0
3066,0.08,4.35,9.81,0
3070,0.28,4.34,9.77,0
3075,0.25,4.35,9.81,0
3080,0.15,4.36,9.82,0
3084,0.15,4.35,9.83,0
3089,0.15,4.38,9.84,0
3093,0.28,4.36,9.80,0
3097,0.05,4.37,9.83,0
3102,0.15,4.37,9.83,0
3106,0.12,4.37,9.83,0
3110,0.21,4.39,9.81,0
3115,0.28,4.37,9.85,0
3120,0.18,4.37,9.85,0
3124,0.25,4.39,9.85,0
3129,0.18,4.38,9.85,0
3134,0.28,4.36,9.82,0
3139,0.15,4.37,9.83,0
3143,0.37,4.37,9.84,0
3147,0.12,4.41,9.85,0
3152,0.25,4.49,9.83,0
3156,0.05,4.51,9.85,0
3161,0.28,4.51,9.84,0
3165,0.41,4.60,9.85,0
3170,0.28,4.60,9.86,0
3174,0.05,4.61,9.87,0
3179,0.28,4.59,9.84,0
3183,0.25,4.62,9.85,0
3188,0.41,4.68,9.87,0
3192,0.02,4.74,9.88,0
3197,0.05,4.72,9.87,0
3201,0.44,4.73,9.86,0
3206,0.21,4.82,9.86,0
3211,0.44,4.80,9.86,0
3215,0.31,4.82,9.87,0
3220,0.08,4.83,9.87,0
3224,0.21,4.83,9.87,0
3228,0.28,4.85,9.88,0
3233,0.37,4.89,9.87,0
3238,0.28,4.90,9.87,0
3242,0.44,4.90,9.88,0
3247,0.31,4.87,9.87,0
3251,0.15,4.91,9.85,0
3256,0.08,4.93,9.86,0
3260,0.28,4.94,9.87,0
3264,0.21,4.98,9.87,0
3268,0.28,4.97,9.88,0
3273,0.18,4.97,9.85,0
3278,0.28,4.99,9.85,0
3283,0.21,4.98,9.88,0
3287,0.18,5.00,9.87,0
3291,0.12,5.01,9.88,0
3295,0.15,4.98,9.87,0
3300,0.25,4.99,9.88,0
3305,0.08,5.06,9.88,0
3309,0.31,5.04,9.87,0
3313,0.21,5.06,9.86,0
3318,0.31,5.07,9.88,0
3322,0.34,5.11,9.87,0
3327,0.28,5.14,9.87,0
3331,0.28,5.12,9.88,0
3336,0.18,5.12,9.85,0
3340,0.31,5.12,9.88,0
3345,0.25,5.16,9.87,0
3349,0.37,5.18,9.86,0
3354,0.21,5.20,9.85,0
3359,0.18,5.19,9.87,0
3364,0.34,5.18,9.87,0
3368,0.12,5.21,9.88,0
3373,0.18,5.22,9.88,0
3377,0.28,5.20,9.86,0
3382,0.34,5.23,9.89,0
3386,0.21,5.23,9.86,0
3391,0.18,5.22,9.86,0
3396,0.28,5.27,9.87,0
3400,0.28,5.27,9.88,0
3405,0.31,5.26,9.87,0
3410,0.02,5.29,9.87,0
3414,0.12,5.31,9.88,0
3419,0.15,5.28,9.88,0
3424,0.25,5.26,9.86,0
3428,0.31,5.27,9.86,0
3432,0.05,5.25,9.87,0
3437,0.15,5.21,9.88,0
3441,0.08,5.28,9.88,0
3445,0.28,5.35,9.87,0
3450,0.15,5.33,9.87,0
3455,0.28,5.35,9.88,0
3459,0.25,5.35,9.87,0
3463,0.05,5.36,9.86,0
3468,0.21,5.33,9.86,0
3472,0.15,5.30,9.88,0
3477,0.15,5.34,9.88,0
3481,0.28,5.39,9.88,0
3486,0.28,5.41,9.88,0
3529,0.37,5.39,9.85,0
3529,0.28,5.40,9.87,0
3536,0.28,5.42,9.87,0
3538,0.31,5.43,9.85,0
3543,0.08,5.40,9.87,0
3548,0.05,5.39,9.85,0
3553,0.15,5.36,9.86,0
3557,0.21,5.33,9.88,0
3562,0.21,5.27,9.87,0
3567,0.25,5.19,9.88,0
3571,0.34,5.47,9.88,0
3576,0.18,5.48,9.88,0
3580,0.28,5.48,9.88,0
3585,0.25,5.50,9.88,0
3589,0.21,5.38,9.86,0
3593,0.21,5.48,9.85,0
3598,0.28,5.54,9.88,0
3602,0.28,5.56,9.88,0
3607,0.08,5.53,9.85,0
3611,0.25,5.56,9.88,0
3616,0.31,5.43,9.87,0
3621,0.08,5.41,9.88,0
3625,0.25,5.37,9.85,0
3630,0.18,5.40,9.88,0
3635,0.25,5.47,9.88,0
3639,0.21,5.53,9.85,0
3644,0.25,5.46,9.87,0
3648,0.18,5.45,9.85,0
3652,0.21,5.53,9.88,0
3657,0.25,5.49,9.88,0
3661,0.21,5.51,9.88,0
3666,0.18,5.56,9.88,0
3671,0.25,5.60,9.88,0
3676,0.21,5.61,9.86,0
3680,0.34,5.64,9.86,0
3684,0.25,5.66,9.88,0
3689,0.31,5.62,9.87,0
3694,0.25,5.63,9.87,0
3698,0.28,5.57,9.87,0
3702,0.02,5.63,9.88,0
3706,0.28,5.56,9.88,0
3711,0.28,5.69,9.88,0
3716,0.31,5.71,9.88,0
3720,0.21,5.73,9.88,0
3725,0.34,5.72,9.88,0
3729,0.34,5.70,9.88,0
3734,0.28,5.71,9.87,0
3738,0.12,5.74,9.87,0
3743,0.25,5.73,9.86,0
3748,0.21,5.74,9.89,0
3752,0.31,5.73,9.87,0
3756,0.02,5.75,9.88,0
3761,0.15,5.72,9.88,0
3765,0.37,5.70,9.87,0
3769,0.21,5.81,9.86,0
3774,0.08,5.80,9.86,0
3778,0.25,5.83,9.88,0
3782,0.25,5.81,9.88,0
3787,0.31,5.81,9.85,0
3792,0.08,5.83,9.88,0
3796,0.28,5.83,9.88,0
3801,0.15,5.83,9.88,0
3806,0.31,5.80,9.87,0
3810,0.15,5.84,9.85,0
3815,0.34,5.83,9.88,0
3819,0.25,5.81,9.87,0
3824,0.28,5.80,9.88,0
3828,0.28,5.84,9.88,0
3832,0.18,5.75,9.88,0
3836,0.21,5.86,9.88,0
3841,0.18,5.87,9.85,0
3845,0.37,5.89,9.88,0
3849,0.28,5.90,9.85,0
3854,0.28,5.96,9.88,0
3858,0.41,5.99,9.86,0
3863,0.34,5.94,9.85,0
3868,0.08,5.91,9.87,0
3872,0.41,6.09,9.88,0
3876,-0.01,6.12,9.86,0
3881,0.28,6.11,9.88,0
3886,0.44,6.16,9.88,0
3891,0.34,6.20,9.85,0
3895,0.31,6.14,9.85,0
3900,0.28,6.34,9.88,0
3905,0.31,6.34,9.88,0
3909,0.28,6.36,9.85,0
3914,0.18,6.39,9.87,0
3919,0.34,6.51,9.87,0
3923,0.34,6.48,9.88,0
3928,0.25,6.52,9.88,0
3932,0.34,6.66,9.88,0
3937,0.47,6.49,9.87,0
3941,0.37,6.42,9.88,0
3946,0.28,6.75,9.88,0
3951,0.37,6.80,9.87,0
3955,0.25,6.67,9.88,0
3999,0.41,7.98,9.85,0
3999,0.73,8.02,9.85,0
4006,0.57,8.06,9.86,0
4008,0.57,8.02,9.85,0
